,Player,Comp,Share of Total Team Touches,Progressive Actions,% of Defensive Actions in Middle 3rd,Def Pen Percentile
138,Pietro Ceccaroni,Serie A,,,,
139,Cristiano Biraghi,Serie A,,,,
140,Nikola Milenković,Serie A,,,,
141,Joachim Andersen,Premier League,,,,
142,Marc Guéhi,Premier League,,,,
143,Tyrick Mitchell,Premier League,,,,
144,Joel Ward,Premier League,,,,
145,Cédric Brunner,Bundesliga,,,,
146,Joakim Nilsson,Bundesliga,,,,
147,Amos Pieper,Bundesliga,,,,
148,Niklas Stark,Bundesliga,,,,
149,Sven Botman,Ligue 1,,,,
150,Zeki Çelik,Ligue 1,,,,
151,José Fonte,Ligue 1,,,,
152,David García,La Liga,,,,
153,Manuel Sánchez,La Liga,,,,
154,Nacho Vidal,La Liga,,,,
155,Vladimír Coufal,Premier League,,,,
156,Aaron Cresswell,Premier League,,,,
157,Craig Dawson,Premier League,,,,
158,Danilo Soares,Bundesliga,,,,
159,Jean-Charles Castelletto,Ligue 1,,,,
160,Nicolas Pallois,Ligue 1,,,,
161,Matty Cash,Premier League,,,,
162,Ezri Konsa,Premier League,,,,
163,Tyrone Mings,Premier League,,,,
164,Matt Targett,Premier League,,,,
165,John Brooks,Bundesliga,,,,
166,Maxence Lacroix,Bundesliga,,,,
167,Rodrigo Becão,Serie A,,,,
168,Bram Nuytinck,Serie A,,,,
169,Iyenoma Udogie,Serie A,,,,
170,Tommaso Augello,Serie A,,,,
171,Bartosz Bereszyński,Serie A,,,,
172,Omar Colley,Serie A,,,,
173,Maya Yoshida,Serie A,,,,
174,Petar Stojanović,Serie A,,,,
175,Gabriel Dos Santos,Premier League,,,,
176,Takehiro Tomiyasu,Premier League,0.98,0.33,0.99,0.79
177,Ben White,Premier League,,,,
178,Timo Baumgartl,Bundesliga,,,,
179,Niko Gießelmann,Bundesliga,,,,
180,Robin Knoche,Bundesliga,,,,
181,Norbert Gyömbér,Serie A,,,,
182,Luca Ranieri,Serie A,,,,
183,Vlad Chiricheș,Serie A,,,,
184,Gian Marco Ferrari,Serie A,,,,
185,Rogério,Serie A,,,,
186,Jeremy Toljan,Serie A,,,,
187,Giulian Biancone,Ligue 1,,,,
188,Jimmy Giraudon,Ligue 1,,,,
189,Yoann Salmier,Ligue 1,0.53,0.46,0.92,0.51
190,Craig Cathcart,Premier League,,,,
191,William Troost-Ekong,Premier League,,,,
192,Andrea Cambiaso,Serie A,,,,
193,Johan Mojica,La Liga,,,,
194,Helibelton Palacios,La Liga,,,,
195,Enzo Roco,La Liga,,,,
196,Harry Maguire,Premier League,,,,
197,Luan Peres Petroni,Ligue 1,0.8400000000000001,0.91,0.7000000000000001,0.18000000000000002
198,William Saliba,Ligue 1,,,,
199,Theo Hernández,Serie A,,,,
200,Fikayo Tomori,Serie A,,,,
201,Jonathan Clauss,Ligue 1,,,,
202,Kevin Danso,Ligue 1,,,,
203,Przemysław Frankowski,Ligue 1,,,,
204,Jonathan Gradit,Ligue 1,,,,
205,Facundo Medina,Ligue 1,,,,
206,Nicolò Casale,Serie A,0.8,0.61,0.59,0.5700000000000001
207,Federico Ceccherini,Serie A,0.5,0.77,0.4,0.08
208,Davide Faraoni,Serie A,,,,
209,Koray Günter,Serie A,,,,
210,Darko Lazović,Serie A,0.7000000000000001,0.61,0.45,0.76
211,Carlos Clerc,La Liga,,,,
212,Rúben Vezo,La Liga,,,,
213,Leandro Cabrera,La Liga,,,,
214,Sergi Gómez,La Liga,,,,
215,Pedrosa,La Liga,,,,
216,Alessandro Bastoni,Serie A,,,,
217,Ivan Perišić,Serie A,,,,
218,Milan Škriniar,Serie A,,,,
219,Stefan de Vrij,Serie A,,,,
220,Matthew Lowton,Premier League,,,,
221,Ben Mee,Premier League,0.3,0.5800000000000001,0.12,0.17
222,James Tarkowski,Premier League,,,,
223,Charlie Taylor,Premier League,,,,
224,Stefan Bell,Bundesliga,,,,
225,Aarón Martín,Bundesliga,,,,
226,Moussa Niakhate,Bundesliga,,,,
227,Silvan Widmer,Bundesliga,,,,
228,Aritz Elustondo,La Liga,,,,
229,Robin Le Normand,La Liga,,,,
230,Jeffrey Gouweleeuw,Bundesliga,,,,
231,Robert Gumny,Bundesliga,,,,
232,Reece Oxford,Bundesliga,,,,
233,Nico Elvedi,Bundesliga,,,,
234,Matthias Ginter,Bundesliga,,,,
235,Joseph Scally,Bundesliga,,,,
236,Matthijs de Ligt,Serie A,,,,
237,Achraf Hakimi,Ligue 1,,,,
238,Presnel Kimpembe,Ligue 1,,,,
239,Marquinhos,Ligue 1,,,,
240,Nicolas Cozza,Ligue 1,,,,
241,Mihailo Ristić,Ligue 1,,,,
242,Mamadou Sakho,Ligue 1,,,,
243,Berat Djimsiti,Serie A,,,,
244,José Luis Palomino,Serie A,,,,
245,Christian Günter,Bundesliga,0.4,0.23,0.31,0.37
246,Lukas Kübler,Bundesliga,,,,
247,Philipp Lienhart,Bundesliga,,,,
248,Nico Schlotterbeck,Bundesliga,,,,
249,Giovanni Di Lorenzo,Serie A,,,,
250,Amir Rrahmani,Serie A,,,,
251,Mário Rui,Serie A,0.5800000000000001,0.14,0.6900000000000001,0.85
