Player,Position
Panagiotis Retsos,D (CL)
Alessio Romagnoli,D (C)
Simone Romagnoli,D (C)
Amir Rrahmani,D (C)
Daniele Rugani,D (CR)
Laurens Serpe,D (C)
Chris Smalling,D (CL)
Adama Soumaoro,D (CR)
Luca Stanga,D
Stefan Strandberg,D (C)
Michael Svoboda,"D, M (C)"
Fikayo Tomori,D (C)
Lorenzo Tonelli,D (C)
Ruan,D (C)
Axel Tuanzebe,D (CR)
Zinho Vanheusden,D (CR)
Johan Vásquez,D (CL)
Denis Vavro,D (CR)
Mattia Viti,D (C)
Sebastian Walukiewicz,D (CR)
Maya Yoshida,D (C)
Mattia Zanotti,D
David Zima,D (CR)
Manuel Akanji,D (C)
Kevin Akpoguma,D (CR)
Waldemar Anton,D (CL)
Maximilian Bauer,"D, DM (C)"
Timo Baumgartl,D (CL)
Stefan Bell,D (CR)
Armel Bella Kotchap,D (C)
Solomon Bonnah,D
Sebastiaan Bornauw,D (CL)
Dedryck Boyata,D (C)
John Brooks,D (CL)
Rafael Czichos,D (CL)
Márton Dárdai,D (CL)
Saulo Decarli,D (CR)
Nico Elvedi,D (CR)
Linus Gechter,D (C)
Matthias Ginter,D (CR)
Jeffrey Gouweleeuw,D (C)
Timo Hübers,D (C)
Alexander Hack,D (CL)
Makoto Hasebe,"D, DM (C)"
Dominique Heintz,D (CL)
Lucas Hernández,D (CL)
Piero Hincapié,D (CL)
Martin Hinteregger,D (CL)
Justin Hoogma,D (C)
Mats Hummels,D (C)
Stefan Ilsanker,"D, DM (C)"
Paul Jaeckel,D (CR)
Gideon Jung,"D, DM (C)"
Luca Kilian,D (C)
Robin Knoche,D (CL)
Odilon Kossonou,D (C)
Nianzou Kouassi,D (C)
Maxence Lacroix,D (CR)
Vassilios Lambropoulos,D (C)
Maxim Leitsch,D (C)
Philipp Lienhart,D (CR)
Erhan Mašović,"D, DM (C)"
Matej Maglica,D (C)
Jorge Meré,D (CL)
Joakim Nilsson,"D, DM (C)"
Håvard Nordtveit,D (CR)
Willi Orban,D (CR)
Reece Oxford,D (CR)
Amos Pieper,D (CL)
Marin Pongračić,D (C)
Guilherme Ramos,D (C)
Panagiotis Retsos,D (CL)
Chris Richards,D (CL)
Niklas Süle,D (CR)
Keven Schlotterbeck,D (C)
Mohamed Simakan,D (CR)
Niklas Stark,"D, M (C)"
Jonathan Tah,D (CR)
Edmond Tapsoba,D (CL)
Jordan Torunarigha,D (CL)
Ohis Uduokhai,D (CL)
Dayot Upamecano,D (CL)
Mickey van de Ven,D (C)
Mike van der Hoorn,D (C)
Nick Viergever,D (C)
Kevin Vogt,D (CL)
Dan-Axel Zagadou,D (CL)
Yunis Abdelhamid,D (CL)
Nayef Aguerd,D (C)
Anel Ahmedhodzic,D (CR)
Josué Albert,D (C)
Loïc Bade,D (C)
Denys Bain,D (C)
Abdoulaye Bakayoko,D (C)
Leonardo Balerdi,D (CR)
Jean-Claude Billong,D (C)
Jérôme Boateng,D (C)
Sven Botman,D (C)
Lilian Brassier,D (CL)
Duje Ćaleta-Car,D (CR)
Lucas Calodat,D
Jean-Charles Castelletto,D (C)
Brendan Chardonnet,D (C)
Marquinhos,D (C)
Dante,D (C)
José Fonte,D (C)
Damien da Silva,D (CR)
Flavius Daniliuc,D (CR)
Kevin Danso,D (C)
Jemerson,D (CR)
Jason Denayer,D (C)
Ibrahim Diakité,D
Abdou Diallo,D (CL)
Sinaly Diomandé,D (C)
Axel Disasi,D (CR)
Alexander Djiku,"D, DM (C)"
Bryan Djile Nokoué,D
Jean-Kevin Duverne,D (CL)
Tiago Djaló,D (CR)
Maxime Estève,D (C)
Wout Faes,D (C)
